player_name,group,match_id,team_1,team_2,pred_goal_1,pred_goal_2,Date,Time
Nina,A,A24,HUN,USA,0,4,25/05/2026,15:20
Saoirse,A,A24,HUN,USA,0,4,25/05/2026,15:20
Luki,A,A24,HUN,USA,1,5,25/05/2026,15:20
Stefan,A,A24,HUN,USA,0,8,25/05/2026,15:20
Susanne,A,A24,HUN,USA,1,4,25/05/2026,15:20
Charlotte,A,A24,HUN,USA,1,5,25/05/2026,15:20
Nina,A,A25,DE,GB,3,0,25/05/2026,19:20
Saoirse,A,A25,DE,GB,3,0,25/05/2026,19:20
Luki,A,A25,DE,GB,2,0,25/05/2026,19:20
Stefan,A,A25,DE,GB,5,1,25/05/2026,19:20
Susanne,A,A25,DE,GB,3,1,25/05/2026,19:20
Charlotte,A,A25,DE,GB,3,1,25/05/2026,19:20
Nina,A,A26,HUN,LAT,1,2,26/05/2026,11:20
Saoirse,A,A26,HUN,LAT,1,2,26/05/2026,11:20
Luki,A,A26,HUN,LAT,1,3,26/05/2026,11:20
Stefan,A,A26,HUN,LAT,2,5,26/05/2026,11:20
Susanne,A,A26,HUN,LAT,2,3,26/05/2026,11:20
Charlotte,A,A26,HUN,LAT,0,3,26/05/2026,11:20
Nina,A,A27,AUT,USA,1,4,26/05/2026,15:20
Saoirse,A,A27,AUT,USA,0,3,26/05/2026,15:20
Luki,A,A27,AUT,USA,1,5,26/05/2026,15:20
Stefan,A,A27,AUT,USA,2,6,26/05/2026,15:20
Susanne,A,A27,AUT,USA,1,3,26/05/2026,15:20
Charlotte,A,A27,AUT,USA,1,5,26/05/2026,15:20
Nina,A,A28,SUI,FIN,1,3,26/05/2026,19:20
Saoirse,A,A28,SUI,FIN,3,2,26/05/2026,19:20
Luki,A,A28,SUI,FIN,2,4,26/05/2026,19:20
Stefan,A,A28,SUI,FIN,3,4,26/05/2026,19:20
Susanne,A,A28,SUI,FIN,1,3,26/05/2026,19:20
Charlotte,A,A28,SUI,FIN,3,5,26/05/2026,19:20
Nina,B,B1,CAN,SWE,3,2,15/05/2026,15:20
Saoirse,B,B1,CAN,SWE,3,2,15/05/2026,15:20
Luki,B,B1,CAN,SWE,4,3,15/05/2026,15:20
Stefan,B,B1,CAN,SWE,3,4,15/05/2026,15:20
Susanne,B,B1,CAN,SWE,3,2,15/05/2026,15:20
Charlotte,B,B1,CAN,SWE,3,2,15/05/2026,15:20
Nina,B,B2,CZE,DEN,4,2,15/05/2026,19:20
Saoirse,B,B2,CZE,DEN,3,1,15/05/2026,19:20
Luki,B,B2,CZE,DEN,6,1,15/05/2026,19:20
Stefan,B,B2,CZE,DEN,5,2,15/05/2026,19:20
Susanne,B,B2,CZE,DEN,2,1,15/05/2026,19:20
Charlotte,B,B2,CZE,DEN,4,1,15/05/2026,19:20
Nina,B,B3,NOR,SVK,0,2,16/05/2026,11:20
Saoirse,B,B3,NOR,SVK,1,3,16/05/2026,11:20
Luki,B,B3,NOR,SVK,1,3,16/05/2026,11:20
Stefan,B,B3,NOR,SVK,2,3,16/05/2026,11:20
Susanne,B,B3,NOR,SVK,3,2,16/05/2026,11:20
Charlotte,B,B3,NOR,SVK,3,2,16/05/2026,11:20
Nina,B,B4,CAN,ITA,4,0,16/05/2026,15:20
Saoirse,B,B4,CAN,ITA,4,0,16/05/2026,15:20
Luki,B,B4,CAN,ITA,7,0,16/05/2026,15:20
